NUTS code,x1997,GVA_%_1997,x1998,GVA_%_1998,x1999,GVA_%_1999,x2000,GVA_%_2000,x2001,GVA_%_2001,x2002,GVA_%_2002,x2003,GVA_%_2003,x2004,GVA_%_2004,x2005,GVA_%_2005,x2006,GVA_%_2006,x2007,GVA_%_2007,x2008,GVA_%_2008,x2009,GVA_%_2009,x2010,GVA_%_2010,x2011,GVA_%_2011,x2012,GVA_%_2012,x2013,GVA_%_2013,x2014,GVA_%_2014,x2015,GVA_%_2015,x2016,GVA_%_2016,x2017,GVA_%_2017,Percentage_change
UKI63,14223,96.73,14981,98.09,15733,99.84,16528,99.64,16607,96.69,17349,96.74,18438,97.53,19057,96.76,19926,96.22,20841,95.96,22363,98.78,22840,98.77,21215,94.35,21937,96.3,22282,96.03,23267,97.84,23640,96.33,24682,96.87,23537,90.57,24415,91.27,24901,90.78,-5.95
UKJ45,14286,97.16,14777,96.75,15144,96.1,15386,92.75,15970,92.98,16991,94.74,18258,96.58,18673,94.81,20028,96.71,20475,94.28,21304,94.1,22174,95.89,21277,94.62,21479,94.29,21463,92.5,22011,92.56,22123,90.15,22091,86.7,22960,88.35,24015,89.78,24205,88.24,-8.91
UKD45,15217,103.49,15698,102.78,16011,101.61,16417,98.97,16806,97.85,17814,99.33,18740,99.13,19812,100.59,20621,99.58,21181,97.53,22455,99.18,22897,99.02,22751,101.18,23082,101.33,22849,98.48,23439,98.57,24579,100.15,24758,97.17,28703,110.45,30805,115.16,31742,115.72,12.23
UKJ12,21473,146.04,22109,144.76,22870,145.13,23942,144.33,25128,146.31,26863,149.79,29403,155.53,29580,150.18,29255,141.27,30616,140.97,32918,145.4,34788,150.44,33017,146.83,34346,150.78,35843,154.48,36120,151.89,37000,150.77,39675,155.71,42253,162.59,46070,172.23,46074,167.97,21.93
UKE13,14373,97.75,14985,98.11,14157,89.84,14066,84.8,14583,84.91,15771,87.94,16714,88.41,16759,85.09,17984,86.84,18568,85.5,20310,89.71,19956,86.3,21680,96.42,20748,91.08,20994,90.48,20152,84.74,19765,80.54,20955,82.24,22718,87.42,22399,83.74,22404,81.68,-16.07
UKH16,12272,83.46,12390,81.12,13009,82.55,13515,81.47,14031,81.69,14492,80.81,15063,79.68,15659,79.5,16225,78.35,16515,76.04,16572,73.2,17184,74.31,16740,74.45,17126,75.18,17438,75.16,18238,76.69,18589,75.75,19199,75.35,19496,75.02,20364,76.13,20680,75.39,-8.07
UKJ37,16405,111.57,17094,111.92,17674,112.16,18722,112.86,19505,113.57,20928,116.69,21036,111.27,22572,114.6,23538,113.66,24473,112.69,26395,116.59,27217,117.7,26123,116.17,26589,116.73,26863,115.78,27090,113.92,28715,117.01,29837,117.1,30002,115.45,30024,112.24,29650,108.09,-3.47
UKF25,13038,88.67,13243,86.71,13937,88.44,14628,88.18,14689,85.53,14899,83.08,15746,83.29,16119,81.84,16575,80.04,17665,81.34,18460,81.54,19130,82.73,17996,80.03,18711,82.14,18453,79.53,17896,75.26,19305,78.66,19050,74.76,19467,74.91,20581,76.94,21093,76.9,-11.77
UKF15,10635,72.33,11140,72.94,11555,73.33,11869,71.55,11994,69.83,12437,69.35,12917,68.33,13476,68.42,14593,70.47,15333,70.6,15961,70.5,16349,70.7,15345,68.24,15795,69.34,16848,72.61,16954,71.3,17047,69.46,17952,70.46,18002,69.27,18492,69.13,18816,68.6,-3.73
UKE22,13204,89.8,13468,88.18,13624,86.46,14475,87.26,15038,87.56,16564,92.36,17690,93.57,17889,90.83,18488,89.28,18942,87.22,19805,87.48,20113,86.98,19233,85.53,19448,85.38,20079,86.54,20421,85.87,21455,87.43,21923,86.04,21898,84.27,22430,83.85,22915,83.54,-6.26
UKC21,10087,68.6,10187,66.7,9813,62.27,10346,62.37,10694,62.26,11727,65.39,12308,65.1,12671,64.33,13358,64.5,13889,63.95,14073,62.16,14400,62.27,13825,61.48,13835,60.74,14251,61.42,14490,60.93,15036,61.27,16099,63.18,16274,62.62,16322,61.02,16588,60.47,-8.13
UKH15,13800,93.85,14288,93.55,14808,93.97,15117,91.13,15686,91.33,16253,90.63,17296,91.49,18538,94.12,19943,96.3,21279,97.98,21244,93.83,21014,90.88,21128,93.96,20228,88.8,20236,87.22,21291,89.53,21599,88.01,22164,86.99,22245,85.6,23270,86.99,22926,83.58,-10.27
